category,vendor_sku_code,unit_cost,std_pack_qty,std_skid_qty,status,notes
Street Lamps,88060-CL-8F,52.60,1,24,active,
Street Lamps,Kit-88060-CL-XX (98009-A-SL),,1,24,call_for_quote,
Street Lamps,88260-CL-8F,52.60,1,24,active,
Street Lamps,88260-LD-8F,,1,24,call_for_quote,
Street Lamps,88260-WH-8F,,1,24,call_for_quote,
Street Lamps,Kit-88260-CL-XX (98009-A-SL),,1,24,call_for_quote,
Street Lamps,Kit-88260-LD-XX (98009-A-SL),,1,24,call_for_quote,
Street Lamps,Kit-88260-WH-XX (98009-A-SL),,1,24,call_for_quote,
Street Lamps,88061-CL-6F,,1,,call_for_quote,STD SKID = MOQ
Street Lamps,88061-CL-8F,50.10,1,45,active,
Street Lamps,88261-CL-6F,,1,,call_for_quote,STD SKID = MOQ
Street Lamps,88261-CL-8F,50.10,1,45,active,
Street Lamps,88261-LD-8F,,1,,call_for_quote,STD SKID = MOQ
Street Lamps,88062-CL-8F,52.60,1,20,active,
Street Lamps,88262-CL-8F,52.60,1,20,active,
Street Lamps,88063-CL-8F,50.05,1,27,active,
Street Lamps,88263-CL-8F,50.05,1,27,active,
Street Lamps,88263-WH-8F,50.05,1,27,active,
Street Lamps,88263-LD-8F,57.15,1,27,active,
Street Lamps,88064-CL-8F,52.60,1,24,active,
Street Lamps,88264-CL-8F,52.60,1,24,active,
Street Lamps,88264-WH-8F,52.60,1,24,active,
Street Lamps,88264-LD-8F,59.55,1,24,active,
Street Lamps,88065-CL-6F,33.95,1,64,active,
Street Lamps,88065-CL-5N,33.95,1,64,active,
Street Lamps,88265-CL-6F,33.95,1,64,active,
Street Lamps,88265-CL-5N,33.95,1,64,active,
Street Lamps,88265-LD-5N,,1,,call_for_quote,STD SKID = MOQ
Street Lamps,88265-LD-6F,,1,,call_for_quote,STD SKID = MOQ
Street Lamps,88465-WH-5N,10.80,1,64,active,
Street Lamps,88465-WH-6F,10.80,1,64,active,
Street Lamps,88066-CL-8F,52.60,1,20,active,
Street Lamps,88066-CL-9F,52.60,1,20,active,
Street Lamps,88266-CL-8F,52.60,1,20,active,
Street Lamps,88266-WH-8F,52.60,1,20,active,
Street Lamps,88266-LD-8F,59.55,1,20,active,
Street Lamps,88266-CL-9F,52.60,1,20,active,
Street Lamps,88266-WH-9F,52.60,1,20,active,
Street Lamps,88266-LD-9F,59.55,1,20,active,
Street Lamps,88067-CL-4F,33.95,1,64,active,
Street Lamps,88067-CL-5N,33.95,1,64,active,
Street Lamps,88067-CL-6F,33.95,1,64,active,
Street Lamps,88267-CL-4F,33.95,1,64,active,
Street Lamps,88267-CL-5N,33.95,1,64,active,
Street Lamps,88267-CL-6F,33.95,1,64,active,
Street Lamps,88267-LD-4F,,1,,call_for_quote,STD SKID = MOQ
Street Lamps,88267-LD-5N,,1,,call_for_quote,STD SKID = MOQ
Street Lamps,88267-LD-6F,,1,,call_for_quote,STD SKID = MOQ
